module_annotation,module,node,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p_adjust,qvalue,geneID,Count,degree,module_content_number,llm_module_name
transmembrane transporter complex,Functional_module_136,GO:1902495;GO:1990351;GO:0070588;GO:0098660;GO:0030001;GO:0098662;GO:0006816;GO:0097553;GO:0022803;GO:0015085;GO:0015079;GO:0046873;GO:0006813;GO:0098661;GO:0071805;GO:1902476,transmembrane transporter complex;transporter complex;calcium ion transmembrane transport;inorganic ion transmembrane transport;metal ion transport;inorganic cation transmembrane transport;calcium ion transport;calcium ion transmembrane import into cytosol;passive transmembrane transporter activity;calcium ion transmembrane transporter activity;potassium ion transmembrane transporter activity;metal ion transmembrane transporter activity;potassium ion transport;inorganic anion transmembrane transport;potassium ion transmembrane transport;chloride transmembrane transport,41/1404,200/15549;205/15549;127/15876;464/15876;458/15876;420/15876;149/15876;53/15876;428/15985;96/15985;145/15985;348/15985;152/15876;53/15876;139/15876;43/15876,0.205,2.2703311965812,5.69654145673758,4.58459398091639e-7,1.21644560293648e-5,9.94133010598713e-6,ENSMFAG00000032077/ENSMFAG00000036614/ENSMFAG00000042771/ENSMFAG00000059465/ENSMFAG00000036819/ENSMFAG00000031605/ENSMFAG00000000600/ENSMFAG00000036449/ENSMFAG00000032985/ENSMFAG00000001913/ENSMFAG00000042661/ENSMFAG00000009940/ENSMFAG00000034219/ENSMFAG00000011695/ENSMFAG00000039417/ENSMFAG00000002422/ENSMFAG00000007024/ENSMFAG00000004450/ENSMFAG00000034037/ENSMFAG00000033963/ENSMFAG00000039173/ENSMFAG00000034151/ENSMFAG00000042166/ENSMFAG00000034541/ENSMFAG00000001773/ENSMFAG00000045995/ENSMFAG00000031682/ENSMFAG00000020572/ENSMFAG00000035688/ENSMFAG00000043247/ENSMFAG00000045036/ENSMFAG00000036517/ENSMFAG00000035942/ENSMFAG00000038859/ENSMFAG00000037862/ENSMFAG00000001940/ENSMFAG00000045895/ENSMFAG00000000121/ENSMFAG00000030817/ENSMFAG00000039113/ENSMFAG00000046358/ENSMFAG00000044500/ENSMFAG00000035511/ENSMFAG00000003543/ENSMFAG00000033709/ENSMFAG00000032021/ENSMFAG00000030419/ENSMFAG00000036570/ENSMFAG00000002921/ENSMFAG00000031591/ENSMFAG00000043008/ENSMFAG00000036524/ENSMFAG00000039431/ENSMFAG00000044291/ENSMFAG00000034602/ENSMFAG00000038894/ENSMFAG00000043573/ENSMFAG00000001652/ENSMFAG00000040844/ENSMFAG00000003981/ENSMFAG00000027682/ENSMFAG00000024693/ENSMFAG00000000748/ENSMFAG00000043293,64,2,16,Ion Transport Regulation in Cellular Homeostasis
Spinocerebellar ataxia - Macaca fascicularis (crab-eating macaque),Functional_module_10,mcf05017,Spinocerebellar ataxia - Macaca fascicularis (crab-eating macaque),24/553,151/10949,0.158940397350993,3.1469049016203,6.12669758818932,5.14255317893583e-7,1.31563652161108e-5,6.54096676268153e-6,ENSMFAG00000027291/ENSMFAG00000034037/ENSMFAG00000036829/ENSMFAG00000042771/ENSMFAG00000003777/ENSMFAG00000038288/ENSMFAG00000045895/ENSMFAG00000031022/ENSMFAG00000000600/ENSMFAG00000040944/ENSMFAG00000038064/ENSMFAG00000033868/ENSMFAG00000045395/ENSMFAG00000032688/ENSMFAG00000001779/ENSMFAG00000002257/ENSMFAG00000000374/ENSMFAG00000011695/ENSMFAG00000033948/ENSMFAG00000043163/ENSMFAG00000035688/ENSMFAG00000043247/ENSMFAG00000007024/ENSMFAG00000000492,24,0,1,Spinocerebellar ataxia - Macaca fascicularis (crab-eating macaque)
synapse organization,Functional_module_135,GO:0050808,synapse organization,25/1420,90/15876,0.277777777777778,3.1056338028169,6.27834271559728,1.91346603306797e-7,1.34932346124966e-5,1.14460690471725e-5,ENSMFAG00000036313/ENSMFAG00000001017/ENSMFAG00000043359/ENSMFAG00000031053/ENSMFAG00000039255/ENSMFAG00000052498/ENSMFAG00000037495/ENSMFAG00000004661/ENSMFAG00000000986/ENSMFAG00000003353/ENSMFAG00000031966/ENSMFAG00000039677/ENSMFAG00000031204/ENSMFAG00000037775,14,0,1,synapse organization
Regulation of actin cytoskeleton - Macaca fascicularis (crab-eating macaque),Functional_module_11,mcf04810,Regulation of actin cytoskeleton - Macaca fascicularis (crab-eating macaque),31/553,231/10949,0.134199134199134,2.6570457872447,5.87057238244777,5.75786894462152e-7,1.35974289692216e-5,6.76025098761231e-6,ENSMFAG00000003264/ENSMFAG00000002250/ENSMFAG00000038711/ENSMFAG00000031678/ENSMFAG00000003904/ENSMFAG00000033235/ENSMFAG00000003018/ENSMFAG00000031286/ENSMFAG00000003635/ENSMFAG00000003288/ENSMFAG00000030106/ENSMFAG00000045940/ENSMFAG00000036522/ENSMFAG00000034461/ENSMFAG00000003726/ENSMFAG00000001164/ENSMFAG00000043366/ENSMFAG00000030983/ENSMFAG00000001975/ENSMFAG00000033868/ENSMFAG00000045395/ENSMFAG00000001747/ENSMFAG00000031656/ENSMFAG00000001069/ENSMFAG00000034537/ENSMFAG00000044097/ENSMFAG00000045752/ENSMFAG00000001695/ENSMFAG00000043088/ENSMFAG00000031697/ENSMFAG00000045941,31,0,1,Regulation of actin cytoskeleton - Macaca fascicularis (crab-eating macaque)
Morphine addiction - Macaca fascicularis (crab-eating macaque),Functional_module_12,mcf05032,Morphine addiction - Macaca fascicularis (crab-eating macaque),18/553,93/10949,0.193548387096774,3.83211806568279,6.32578949774749,7.32287896175332e-7,1.60580274375591e-5,7.98358984552054e-6,ENSMFAG00000027291/ENSMFAG00000040724/ENSMFAG00000044118/ENSMFAG00000041470/ENSMFAG00000041776/ENSMFAG00000031022/ENSMFAG00000034433/ENSMFAG00000001655/ENSMFAG00000046358/ENSMFAG00000046132/ENSMFAG00000003513/ENSMFAG00000033709/ENSMFAG00000032923/ENSMFAG00000030419/ENSMFAG00000004019/ENSMFAG00000000162/ENSMFAG00000031591/ENSMFAG00000043008,18,0,1,Morphine addiction - Macaca fascicularis (crab-eating macaque)
phosphoric ester hydrolase activity,Functional_module_196,GO:0042578;GO:0008081;GO:0004674;GO:0004112;GO:0004725;GO:0004721;GO:0004114;GO:0004713;GO:0016791;GO:0004714;GO:0019199;GO:0001727;GO:0042577,"phosphoric ester hydrolase activity;phosphoric diester hydrolase activity;protein serine/threonine kinase activity;cyclic-nucleotide phosphodiesterase activity;protein tyrosine phosphatase activity;phosphoprotein phosphatase activity;3',5'-cyclic-nucleotide phosphodiesterase activity;protein tyrosine kinase activity;phosphatase activity;transmembrane receptor protein tyrosine kinase activity;transmembrane receptor protein kinase activity;lipid kinase activity;lipid phosphatase activity",60/1457,326/15985;69/15985;316/15985;25/15985;86/15985;145/15985;23/15985;102/15985;254/15985;54/15985;69/15985;35/15985;18/15985,0.184049079754601,2.01923441309355,5.88803607694781,9.82151153964453e-8,1.67456771750939e-5,1.46547290604696e-5,ENSMFAG00000037522/ENSMFAG00000034037/ENSMFAG00000003655/ENSMFAG00000002650/ENSMFAG00000044187/ENSMFAG00000031323/ENSMFAG00000038674/ENSMFAG00000033235/ENSMFAG00000000709/ENSMFAG00000042916/ENSMFAG00000041769/ENSMFAG00000041776/ENSMFAG00000001498/ENSMFAG00000044337/ENSMFAG00000030691/ENSMFAG00000034433/ENSMFAG00000046405/ENSMFAG00000042166/ENSMFAG00000004754/ENSMFAG00000034143/ENSMFAG00000032576/ENSMFAG00000038540/ENSMFAG00000046132/ENSMFAG00000002777/ENSMFAG00000035766/ENSMFAG00000026668/ENSMFAG00000045887/ENSMFAG00000003544/ENSMFAG00000032923/ENSMFAG00000035872/ENSMFAG00000033027/ENSMFAG00000000162/ENSMFAG00000037347/ENSMFAG00000032883/ENSMFAG00000020572/ENSMFAG00000043247/ENSMFAG00000030151/ENSMFAG00000032342/ENSMFAG00000040869/ENSMFAG00000003264/ENSMFAG00000027291/ENSMFAG00000037310/ENSMFAG00000003965/ENSMFAG00000003010/ENSMFAG00000042183/ENSMFAG00000044118/ENSMFAG00000041658/ENSMFAG00000041223/ENSMFAG00000033127/ENSMFAG00000044994/ENSMFAG00000044981/ENSMFAG00000031022/ENSMFAG00000031394/ENSMFAG00000040944/ENSMFAG00000045529/ENSMFAG00000043366/ENSMFAG00000038064/ENSMFAG00000042294/ENSMFAG00000042816/ENSMFAG00000040304/ENSMFAG00000001201/ENSMFAG00000039957/ENSMFAG00000035589/ENSMFAG00000041742/ENSMFAG00000002620/ENSMFAG00000045654/ENSMFAG00000030995/ENSMFAG00000034054/ENSMFAG00000045272/ENSMFAG00000031131/ENSMFAG00000042352/ENSMFAG00000042431/ENSMFAG00000001164/ENSMFAG00000001846/ENSMFAG00000034429/ENSMFAG00000002837/ENSMFAG00000030822/ENSMFAG00000000074/ENSMFAG00000038385/ENSMFAG00000034537/ENSMFAG00000032756/ENSMFAG00000045752/ENSMFAG00000035912/ENSMFAG00000037109/ENSMFAG00000038711/ENSMFAG00000003777/ENSMFAG00000003288/ENSMFAG00000038026/ENSMFAG00000003191,89,2,13,Phosphatase and Kinase Regulation in Cancer Metabolism
ionotropic glutamate receptor complex,Functional_module_174,GO:0008328;GO:0032281,ionotropic glutamate receptor complex;AMPA glutamate receptor complex,12/1404,26/15549;16/15549,0.461538461538462,5.11143984220907,6.61016239829064,8.15014938666465e-7,1.70724181889081e-5,1.39523332990547e-5,ENSMFAG00000036614/ENSMFAG00000042771/ENSMFAG00000001913/ENSMFAG00000011695/ENSMFAG00000007024/ENSMFAG00000004450,6,1,2,ionotropic glutamate receptor complex
Dopaminergic synapse - Macaca fascicularis (crab-eating macaque),Functional_module_13,mcf04728,Dopaminergic synapse - Macaca fascicularis (crab-eating macaque),22/553,136/10949,0.161764705882353,3.20282416764174,5.9617396974552,1.12880175075875e-6,2.16257080724457e-5,1.07516806806262e-5,ENSMFAG00000027291/ENSMFAG00000034037/ENSMFAG00000003655/ENSMFAG00000035831/ENSMFAG00000042771/ENSMFAG00000002611/ENSMFAG00000050332/ENSMFAG00000044118/ENSMFAG00000041470/ENSMFAG00000036156/ENSMFAG00000031022/ENSMFAG00000001913/ENSMFAG00000038846/ENSMFAG00000038064/ENSMFAG00000003513/ENSMFAG00000037539/ENSMFAG00000011695/ENSMFAG00000002620/ENSMFAG00000035688/ENSMFAG00000043247/ENSMFAG00000007024/ENSMFAG00000043008,22,0,1,Dopaminergic synapse - Macaca fascicularis (crab-eating macaque)
MicroRNAs in cancer - Macaca fascicularis (crab-eating macaque),Functional_module_14,mcf05206,MicroRNAs in cancer - Macaca fascicularis (crab-eating macaque),24/553,158/10949,0.151898734177215,3.00748506420674,5.86201390947644,1.19751477925595e-6,2.16257080724457e-5,1.07516806806262e-5,ENSMFAG00000027291/ENSMFAG00000044211/ENSMFAG00000035702/ENSMFAG00000036522/ENSMFAG00000031022/ENSMFAG00000039013/ENSMFAG00000041588/ENSMFAG00000033868/ENSMFAG00000030381/ENSMFAG00000045395/ENSMFAG00000045726/ENSMFAG00000040046/ENSMFAG00000043991/ENSMFAG00000003544/ENSMFAG00000042570/ENSMFAG00000031656/ENSMFAG00000054210/ENSMFAG00000003332/ENSMFAG00000042359/ENSMFAG00000040946/ENSMFAG00000043457/ENSMFAG00000000459/ENSMFAG00000001848/ENSMFAG00000031697,24,0,1,MicroRNAs in cancer - Macaca fascicularis (crab-eating macaque)
Oxytocin signaling pathway - Macaca fascicularis (crab-eating macaque),Functional_module_16,mcf04921,Oxytocin signaling pathway - Macaca fascicularis (crab-eating macaque),24/553,159/10949,0.150943396226415,2.98857006380293,5.82539745352887,1.34498205598804e-6,2.17320784835963e-5,1.08045649927017e-5,ENSMFAG00000027291/ENSMFAG00000034037/ENSMFAG00000003655/ENSMFAG00000050332/ENSMFAG00000044118/ENSMFAG00000044479/ENSMFAG00000036156/ENSMFAG00000036522/ENSMFAG00000036819/ENSMFAG00000031022/ENSMFAG00000031605/ENSMFAG00000003726/ENSMFAG00000039013/ENSMFAG00000001655/ENSMFAG00000043366/ENSMFAG00000000670/ENSMFAG00000039417/ENSMFAG00000001773/ENSMFAG00000035688/ENSMFAG00000043247/ENSMFAG00000043008/ENSMFAG00000030100/ENSMFAG00000045272/ENSMFAG00000034115,24,0,1,Oxytocin signaling pathway - Macaca fascicularis (crab-eating macaque)
cell-cell contact zone,Functional_module_175,GO:0044291,cell-cell contact zone,8/1404,12/15549,0.666666666666667,7.38319088319088,6.96889973118874,1.54065114364901e-6,2.91990073891575e-5,2.38627169617817e-5,ENSMFAG00000043114/ENSMFAG00000004661/ENSMFAG00000035429,3,0,1,cell-cell contact zone
Apelin signaling pathway - Macaca fascicularis (crab-eating macaque),Functional_module_17,mcf04371,Apelin signaling pathway - Macaca fascicularis (crab-eating macaque),22/553,143/10949,0.153846153846154,3.04604256502991,5.67998287193539,2.68118868903018e-6,3.9196425120584e-5,1.94873363363096e-5,ENSMFAG00000041738/ENSMFAG00000034037/ENSMFAG00000038158/ENSMFAG00000003777/ENSMFAG00000003904/ENSMFAG00000050332/ENSMFAG00000044118/ENSMFAG00000041470/ENSMFAG00000044479/ENSMFAG00000036156/ENSMFAG00000044981/ENSMFAG00000036522/ENSMFAG00000036819/ENSMFAG00000039013/ENSMFAG00000001655/ENSMFAG00000044377/ENSMFAG00000000670/ENSMFAG00000003513/ENSMFAG00000001747/ENSMFAG00000039417/ENSMFAG00000035688/ENSMFAG00000043247,22,0,1,Apelin signaling pathway - Macaca fascicularis (crab-eating macaque)
cell leading edge,Functional_module_176,GO:0031252,cell leading edge,21/1404,77/15549,0.272727272727273,3.02039627039627,5.59922650519359,2.88695860436684e-6,4.99569358494784e-5,4.08270118420757e-5,ENSMFAG00000003018/ENSMFAG00000031286/ENSMFAG00000035434/ENSMFAG00000031700/ENSMFAG00000003975/ENSMFAG00000042541/ENSMFAG00000046358/ENSMFAG00000004661/ENSMFAG00000040304/ENSMFAG00000030419/ENSMFAG00000001770/ENSMFAG00000001399/ENSMFAG00000041247,13,0,1,cell leading edge
Cellular senescence - Macaca fascicularis (crab-eating macaque),Functional_module_18,mcf04218,Cellular senescence - Macaca fascicularis (crab-eating macaque),24/553,168/10949,0.142857142857143,2.8284680960992,5.5081952887988,3.64533507400132e-6,5.08689939872003e-5,2.52906021880475e-5,ENSMFAG00000003655/ENSMFAG00000003965/ENSMFAG00000003904/ENSMFAG00000042254/ENSMFAG00000050332/ENSMFAG00000036156/ENSMFAG00000044981/ENSMFAG00000036522/ENSMFAG00000005295/ENSMFAG00000039013/ENSMFAG00000033615/ENSMFAG00000033868/ENSMFAG00000045395/ENSMFAG00000032688/ENSMFAG00000004544/ENSMFAG00000001201/ENSMFAG00000003544/ENSMFAG00000063384/ENSMFAG00000045654/ENSMFAG00000054210/ENSMFAG00000042359/ENSMFAG00000040946/ENSMFAG00000035688/ENSMFAG00000040095,24,0,1,Cellular senescence - Macaca fascicularis (crab-eating macaque)
"Parathyroid hormone synthesis, secretion and action - Macaca fascicularis (crab-eating macaque)",Functional_module_19,mcf04928,"Parathyroid hormone synthesis, secretion and action - Macaca fascicularis (crab-eating macaque)",19/553,114/10949,0.166666666666667,3.29987944544907,5.69298270322962,3.8484774090221e-6,5.13688071552081e-5,2.5539094934014e-5,ENSMFAG00000027291/ENSMFAG00000037310/ENSMFAG00000041738/ENSMFAG00000034037/ENSMFAG00000035831/ENSMFAG00000044118/ENSMFAG00000041776/ENSMFAG00000044479/ENSMFAG00000036522/ENSMFAG00000031022/ENSMFAG00000001655/ENSMFAG00000040046/ENSMFAG00000037539/ENSMFAG00000001747/ENSMFAG00000001069/ENSMFAG00000034537/ENSMFAG00000000162/ENSMFAG00000035688/ENSMFAG00000043247,19,0,1,"Parathyroid hormone synthesis, secretion and action - Macaca fascicularis (crab-eating macaque)"
plasma membrane region,Functional_module_177,GO:0098590,plasma membrane region,53/1404,309/15549,0.171521035598705,1.89955881946173,5.03194245637987,3.70507698322567e-6,5.90900905310885e-5,4.82910287598687e-5,ENSMFAG00000042352/ENSMFAG00000036313/ENSMFAG00000036614/ENSMFAG00000042771/ENSMFAG00000001062/ENSMFAG00000002978/ENSMFAG00000001940/ENSMFAG00000043573/ENSMFAG00000000748/ENSMFAG00000034151/ENSMFAG00000001913/ENSMFAG00000033872/ENSMFAG00000046358/ENSMFAG00000002025/ENSMFAG00000052498/ENSMFAG00000044012/ENSMFAG00000004661/ENSMFAG00000040304/ENSMFAG00000032301/ENSMFAG00000035429/ENSMFAG00000001747/ENSMFAG00000011695/ENSMFAG00000030419/ENSMFAG00000042129/ENSMFAG00000003353/ENSMFAG00000038385/ENSMFAG00000039677/ENSMFAG00000001770/ENSMFAG00000036401/ENSMFAG00000040160/ENSMFAG00000001399/ENSMFAG00000003432,32,0,1,plasma membrane region
Phosphatidylinositol signaling system - Macaca fascicularis (crab-eating macaque),Functional_module_20,mcf04070;GO:0005543;GO:0035091,Phosphatidylinositol signaling system - Macaca fascicularis (crab-eating macaque);phospholipid binding;phosphatidylinositol binding,17/553,96/10949;247/15985;146/15985,0.177083333333333,3.50612191078963,5.68800190447388,5.33339289775539e-6,6.82229841504544e-5,3.39185074637952e-5,ENSMFAG00000027291/ENSMFAG00000034037/ENSMFAG00000038711/ENSMFAG00000003777/ENSMFAG00000050332/ENSMFAG00000003288/ENSMFAG00000036156/ENSMFAG00000031022/ENSMFAG00000004754/ENSMFAG00000033868/ENSMFAG00000045395/ENSMFAG00000038026/ENSMFAG00000003544/ENSMFAG00000003191/ENSMFAG00000020572/ENSMFAG00000035688/ENSMFAG00000043247/ENSMFAG00000041357/ENSMFAG00000037310/ENSMFAG00000043356/ENSMFAG00000002978/ENSMFAG00000037535/ENSMFAG00000045940/ENSMFAG00000003495/ENSMFAG00000046054/ENSMFAG00000034322/ENSMFAG00000039268/ENSMFAG00000031703/ENSMFAG00000041003/ENSMFAG00000038900/ENSMFAG00000038102/ENSMFAG00000003466/ENSMFAG00000035676/ENSMFAG00000031946/ENSMFAG00000001845/ENSMFAG00000003353/ENSMFAG00000001788/ENSMFAG00000001770/ENSMFAG00000040321/ENSMFAG00000037789/ENSMFAG00000000038/ENSMFAG00000045311/ENSMFAG00000003285/ENSMFAG00000032619/ENSMFAG00000038127,45,1,3,Phosphatidylinositol Signaling in Membrane Trafficking and Disease
Retrograde endocannabinoid signaling - Macaca fascicularis (crab-eating macaque),Functional_module_21,mcf04723,Retrograde endocannabinoid signaling - Macaca fascicularis (crab-eating macaque),23/553,161/10949,0.142857142857143,2.8284680960992,5.39047058764663,5.80312662278528e-6,7.12623949278033e-5,3.54296151706891e-5,ENSMFAG00000027291/ENSMFAG00000034037/ENSMFAG00000044187/ENSMFAG00000042771/ENSMFAG00000044118/ENSMFAG00000041470/ENSMFAG00000031022/ENSMFAG00000033089/ENSMFAG00000001655/ENSMFAG00000001913/ENSMFAG00000046358/ENSMFAG00000038064/ENSMFAG00000003513/ENSMFAG00000033709/ENSMFAG00000011695/ENSMFAG00000030419/ENSMFAG00000004019/ENSMFAG00000031591/ENSMFAG00000035688/ENSMFAG00000043247/ENSMFAG00000043008/ENSMFAG00000057489/ENSMFAG00000043193,23,0,1,Retrograde endocannabinoid signaling - Macaca fascicularis (crab-eating macaque)
Human cytomegalovirus infection - Macaca fascicularis (crab-eating macaque),Functional_module_22,mcf05163,Human cytomegalovirus infection - Macaca fascicularis (crab-eating macaque),30/553,246/10949,0.121951219512195,2.41454593569444,5.17521826218906,6.45621155870188e-6,7.62329595585184e-5,3.79008370854969e-5,ENSMFAG00000027291/ENSMFAG00000034037/ENSMFAG00000003655/ENSMFAG00000035831/ENSMFAG00000050332/ENSMFAG00000044118/ENSMFAG00000003635/ENSMFAG00000041470/ENSMFAG00000036156/ENSMFAG00000036522/ENSMFAG00000031022/ENSMFAG00000039013/ENSMFAG00000001164/ENSMFAG00000001655/ENSMFAG00000043366/ENSMFAG00000033868/ENSMFAG00000045395/ENSMFAG00000003513/ENSMFAG00000004544/ENSMFAG00000040740/ENSMFAG00000017605/ENSMFAG00000043991/ENSMFAG00000037539/ENSMFAG00000001747/ENSMFAG00000002620/ENSMFAG00000042359/ENSMFAG00000034131/ENSMFAG00000035688/ENSMFAG00000040095/ENSMFAG00000043247,30,0,1,Human cytomegalovirus infection - Macaca fascicularis (crab-eating macaque)
Long-term potentiation - Macaca fascicularis (crab-eating macaque),Functional_module_23,mcf04720,Long-term potentiation - Macaca fascicularis (crab-eating macaque),14/553,69/10949,0.202898550724638,4.01724454228582,5.79852364816814,7.03867615534033e-6,8.00323548033142e-5,3.97897872329181e-5,ENSMFAG00000027291/ENSMFAG00000034037/ENSMFAG00000003655/ENSMFAG00000042771/ENSMFAG00000050332/ENSMFAG00000044118/ENSMFAG00000036156/ENSMFAG00000036522/ENSMFAG00000031022/ENSMFAG00000001069/ENSMFAG00000046085/ENSMFAG00000035688/ENSMFAG00000043247/ENSMFAG00000007024,14,0,1,Long-term potentiation - Macaca fascicularis (crab-eating macaque)
Circadian entrainment - Macaca fascicularis (crab-eating macaque),Functional_module_24,mcf04713,Circadian entrainment - Macaca fascicularis (crab-eating macaque),17/553,101/10949,0.168316831683168,3.33255151916638,5.43142663953989,1.08170036877718e-5,1.14511039039515e-4,5.69315983566938e-5,ENSMFAG00000027291/ENSMFAG00000034037/ENSMFAG00000042771/ENSMFAG00000050332/ENSMFAG00000044118/ENSMFAG00000041470/ENSMFAG00000036156/ENSMFAG00000036819/ENSMFAG00000031022/ENSMFAG00000001655/ENSMFAG00000001913/ENSMFAG00000003513/ENSMFAG00000011695/ENSMFAG00000039417/ENSMFAG00000043247/ENSMFAG00000007024/ENSMFAG00000043008,17,0,1,Circadian entrainment - Macaca fascicularis (crab-eating macaque)
Choline metabolism in cancer - Macaca fascicularis (crab-eating macaque),Functional_module_25,mcf05231,Choline metabolism in cancer - Macaca fascicularis (crab-eating macaque),17/553,101/10949,0.168316831683168,3.33255151916638,5.43142663953989,1.08170036877718e-5,1.14511039039515e-4,5.69315983566938e-5,ENSMFAG00000027291/ENSMFAG00000038711/ENSMFAG00000044337/ENSMFAG00000036522/ENSMFAG00000031022/ENSMFAG00000030691/ENSMFAG00000038064/ENSMFAG00000033868/ENSMFAG00000045395/ENSMFAG00000002777/ENSMFAG00000002893/ENSMFAG00000038026/ENSMFAG00000026668/ENSMFAG00000044299/ENSMFAG00000032083/ENSMFAG00000031697/ENSMFAG00000031849,17,0,1,Choline metabolism in cancer - Macaca fascicularis (crab-eating macaque)
dendrite,Functional_module_178,GO:0030425,dendrite,32/1404,160/15549,0.2,2.21495726495727,4.86670629876729,1.383767294933e-5,1.9669263692262e-4,1.60745900050488e-4,ENSMFAG00000036313/ENSMFAG00000042771/ENSMFAG00000035434/ENSMFAG00000033301/ENSMFAG00000041327/ENSMFAG00000003931/ENSMFAG00000001913/ENSMFAG00000046358/ENSMFAG00000002837/ENSMFAG00000041030/ENSMFAG00000011695/ENSMFAG00000030419/ENSMFAG00000039040/ENSMFAG00000038633/ENSMFAG00000027682/ENSMFAG00000037109,16,0,1,dendrite
dendritic tree,Functional_module_179,GO:0097447,dendritic tree,32/1404,160/15549,0.2,2.21495726495727,4.86670629876729,1.383767294933e-5,1.9669263692262e-4,1.60745900050488e-4,ENSMFAG00000036313/ENSMFAG00000042771/ENSMFAG00000035434/ENSMFAG00000033301/ENSMFAG00000041327/ENSMFAG00000003931/ENSMFAG00000001913/ENSMFAG00000046358/ENSMFAG00000002837/ENSMFAG00000041030/ENSMFAG00000011695/ENSMFAG00000030419/ENSMFAG00000039040/ENSMFAG00000038633/ENSMFAG00000027682/ENSMFAG00000037109,16,0,1,dendritic tree
Glioma - Macaca fascicularis (crab-eating macaque),Functional_module_26,mcf05214,Glioma - Macaca fascicularis (crab-eating macaque),14/553,76/10949,0.184210526315789,3.64723517654897,5.34098615077393,2.25766873585548e-5,2.31034767302544e-4,1.14863847964577e-4,ENSMFAG00000027291/ENSMFAG00000042254/ENSMFAG00000050332/ENSMFAG00000036156/ENSMFAG00000036522/ENSMFAG00000031022/ENSMFAG00000039013/ENSMFAG00000033868/ENSMFAG00000045395/ENSMFAG00000004544/ENSMFAG00000003544/ENSMFAG00000001069/ENSMFAG00000042359/ENSMFAG00000031697,14,0,1,Glioma - Macaca fascicularis (crab-eating macaque)
Chemokine signaling pathway - Macaca fascicularis (crab-eating macaque),Functional_module_27,mcf04062,Chemokine signaling pathway - Macaca fascicularis (crab-eating macaque),25/553,200/10949,0.125,2.4749095840868,4.8550442073731,2.48951057277904e-5,2.46541853497795e-4,1.22573525654656e-4,ENSMFAG00000003264/ENSMFAG00000034037/ENSMFAG00000002250/ENSMFAG00000002088/ENSMFAG00000044118/ENSMFAG00000041470/ENSMFAG00000036522/ENSMFAG00000031022/ENSMFAG00000033615/ENSMFAG00000001164/ENSMFAG00000001655/ENSMFAG00000043366/ENSMFAG00000030983/ENSMFAG00000033868/ENSMFAG00000045395/ENSMFAG00000003513/ENSMFAG00000038102/ENSMFAG00000017605/ENSMFAG00000001069/ENSMFAG00000046085/ENSMFAG00000002620/ENSMFAG00000044029/ENSMFAG00000035912/ENSMFAG00000031860/ENSMFAG00000043247,25,0,1,Chemokine signaling pathway - Macaca fascicularis (crab-eating macaque)
Endometrial cancer - Macaca fascicularis (crab-eating macaque),Functional_module_28,mcf05213,Endometrial cancer - Macaca fascicularis (crab-eating macaque),12/553,58/10949,0.206896551724138,4.09640207021263,5.45298485533516,2.58317872083779e-5,2.47823708530375e-4,1.23210827145223e-4,ENSMFAG00000042254/ENSMFAG00000036522/ENSMFAG00000039013/ENSMFAG00000033615/ENSMFAG00000033868/ENSMFAG00000045395/ENSMFAG00000003544/ENSMFAG00000001069/ENSMFAG00000002620/ENSMFAG00000003995/ENSMFAG00000034131/ENSMFAG00000043191,12,0,1,Endometrial cancer - Macaca fascicularis (crab-eating macaque)
Transcriptional misregulation in cancer - Macaca fascicularis (crab-eating macaque),Functional_module_29,mcf05202,Transcriptional misregulation in cancer - Macaca fascicularis (crab-eating macaque),26/553,217/10949,0.119815668202765,2.3722635644703,4.70894797023945,3.6191574044587e-5,3.36691310051158e-4,1.673932451823e-4,ENSMFAG00000008415/ENSMFAG00000002296/ENSMFAG00000045817/ENSMFAG00000003965/ENSMFAG00000000725/ENSMFAG00000042802/ENSMFAG00000000341/ENSMFAG00000042254/ENSMFAG00000038478/ENSMFAG00000026858/ENSMFAG00000044994/ENSMFAG00000044479/ENSMFAG00000000039/ENSMFAG00000001164/ENSMFAG00000038696/ENSMFAG00000042125/ENSMFAG00000037774/ENSMFAG00000034429/ENSMFAG00000042791/ENSMFAG00000042570/ENSMFAG00000011695/ENSMFAG00000020326/ENSMFAG00000032001/ENSMFAG00000042359/ENSMFAG00000040946/ENSMFAG00000030151,26,0,1,Transcriptional misregulation in cancer - Macaca fascicularis (crab-eating macaque)
Phospholipase D signaling pathway - Macaca fascicularis (crab-eating macaque),Functional_module_30,mcf04072,Phospholipase D signaling pathway - Macaca fascicularis (crab-eating macaque),21/553,157/10949,0.133757961783439,2.648310892526,4.79771903421115,4.03613533684381e-5,3.64439278944426e-4,1.81188738031688e-4,ENSMFAG00000027291/ENSMFAG00000034037/ENSMFAG00000038711/ENSMFAG00000003904/ENSMFAG00000035372/ENSMFAG00000044337/ENSMFAG00000036522/ENSMFAG00000030691/ENSMFAG00000034461/ENSMFAG00000001655/ENSMFAG00000033868/ENSMFAG00000045395/ENSMFAG00000038026/ENSMFAG00000026668/ENSMFAG00000001747/ENSMFAG00000000074/ENSMFAG00000003506/ENSMFAG00000044011/ENSMFAG00000043247/ENSMFAG00000031697/ENSMFAG00000008235,21,0,1,Phospholipase D signaling pathway - Macaca fascicularis (crab-eating macaque)
